"UID","ID","PID","BASISFORPROPERTYSEIZURE","INSERTDATETIME"
"100070c",100070,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"100090c",100090,1,"Evidence","2024-11-13 10:21:57.617"
"100110c",100110,1,"Evidence","2024-11-13 10:21:57.617"
"100156c",100156,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"100156c",100156,1,"Evidence","2024-11-13 10:21:57.617"
"100435c",100435,1,"Contraband","2024-11-13 10:21:57.617"
"100471c",100471,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"100499c",100499,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"100670c",100670,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"100683c",100683,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"100730c",100730,1,"Evidence","2024-11-13 10:21:57.617"
"100757c",100757,1,"Contraband","2024-11-13 10:21:57.617"
"100757c",100757,1,"Evidence","2024-11-13 10:21:57.617"
"100761c",100761,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"100803c",100803,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"100851c",100851,1,"Contraband","2024-11-13 10:21:57.617"
"100848c",100848,1,"Contraband","2024-11-13 10:21:57.617"
"100901c",100901,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"100956c",100956,1,"Contraband","2024-11-13 10:21:57.617"
"100959c",100959,1,"Contraband","2024-11-13 10:21:57.617"
"100975c",100975,1,"Contraband","2024-11-13 10:21:57.617"
"101026c",101026,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101132c",101132,1,"Evidence","2024-11-13 10:21:57.617"
"101183c",101183,1,"Evidence","2024-11-13 10:21:57.617"
"101183c",101183,1,"Contraband","2024-11-13 10:21:57.617"
"101185c",101185,1,"Contraband","2024-11-13 10:21:57.617"
"101185c",101185,1,"Evidence","2024-11-13 10:21:57.617"
"101199c",101199,1,"Contraband","2024-11-13 10:21:57.617"
"101280c",101280,1,"Evidence","2024-11-13 10:21:57.617"
"101280c",101280,1,"Contraband","2024-11-13 10:21:57.617"
"101374c",101374,1,"Contraband","2024-11-13 10:21:57.617"
"101409c",101409,1,"Evidence","2024-11-13 10:21:57.617"
"101410c",101410,1,"Contraband","2024-11-13 10:21:57.617"
"101410c",101410,1,"Evidence","2024-11-13 10:21:57.617"
"101410c",101410,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101428c",101428,1,"Contraband","2024-11-13 10:21:57.617"
"101428c",101428,1,"Evidence","2024-11-13 10:21:57.617"
"101428c",101428,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101444c",101444,1,"Evidence","2024-11-13 10:21:57.617"
"101446c",101446,1,"Evidence","2024-11-13 10:21:57.617"
"101448c",101448,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101457c",101457,1,"Contraband","2024-11-13 10:21:57.617"
"101468c",101468,1,"Evidence","2024-11-13 10:21:57.617"
"101497c",101497,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101507c",101507,1,"Evidence","2024-11-13 10:21:57.617"
"101524c",101524,1,"Contraband","2024-11-13 10:21:57.617"
"101552c",101552,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"101571c",101571,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"101586c",101586,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101598c",101598,1,"Contraband","2024-11-13 10:21:57.617"
"101619c",101619,1,"Evidence","2024-11-13 10:21:57.617"
"101710c",101710,1,"Evidence","2024-11-13 10:21:57.617"
"101710c",101710,1,"Contraband","2024-11-13 10:21:57.617"
"101714c",101714,3,"Evidence","2024-11-13 10:21:57.617"
"101770c",101770,1,"Contraband","2024-11-13 10:21:57.617"
"101779c",101779,1,"Evidence","2024-11-13 10:21:57.617"
"101950c",101950,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"101975c",101975,1,"Evidence","2024-11-13 10:21:57.617"
"102060c",102060,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"102072c",102072,1,"Contraband","2024-11-13 10:21:57.617"
"102136c",102136,1,"Evidence","2024-11-13 10:21:57.617"
"102154c",102154,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"102196c",102196,1,"Evidence","2024-11-13 10:21:57.617"
"102206c",102206,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"102266c",102266,1,"Evidence","2024-11-13 10:21:57.617"
"102350c",102350,1,"Contraband","2024-11-13 10:21:57.617"
"102359c",102359,1,"Evidence","2024-11-13 10:21:57.617"
"102364c",102364,1,"Evidence","2024-11-13 10:21:57.617"
"102364c",102364,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"102364c",102364,1,"Contraband","2024-11-13 10:21:57.617"
"102375c",102375,1,"Evidence","2024-11-13 10:21:57.617"
"102385c",102385,1,"Evidence","2024-11-13 10:21:57.617"
"102389c",102389,1,"Contraband","2024-11-13 10:21:57.617"
"102404c",102404,1,"Evidence","2024-11-13 10:21:57.617"
"102570c",102570,1,"Evidence","2024-11-13 10:21:57.617"
"102637c",102637,1,"Evidence","2024-11-13 10:21:57.617"
"102911c",102911,1,"Evidence","2024-11-13 10:21:57.617"
"102915c",102915,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"102941c",102941,1,"Evidence","2024-11-13 10:21:57.617"
"102941c",102941,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"102941c",102941,2,"Evidence","2024-11-13 10:21:57.617"
"102969c",102969,1,"Contraband","2024-11-13 10:21:57.617"
"102969c",102969,1,"Evidence","2024-11-13 10:21:57.617"
"102986c",102986,1,"Contraband","2024-11-13 10:21:57.617"
"102986c",102986,1,"Evidence","2024-11-13 10:21:57.617"
"102986c",102986,2,"Evidence","2024-11-13 10:21:57.617"
"102986c",102986,2,"Contraband","2024-11-13 10:21:57.617"
"103030c",103030,1,"Contraband","2024-11-13 10:21:57.617"
"103073c",103073,1,"Contraband","2024-11-13 10:21:57.617"
"103073c",103073,1,"Evidence","2024-11-13 10:21:57.617"
"103074c",103074,1,"Evidence","2024-11-13 10:21:57.617"
"103074c",103074,1,"Contraband","2024-11-13 10:21:57.617"
"103191c",103191,1,"Contraband","2024-11-13 10:21:57.617"
"103227c",103227,1,"Contraband","2024-11-13 10:21:57.617"
"103264c",103264,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"103452c",103452,1,"Evidence","2024-11-13 10:21:57.617"
"103470c",103470,1,"Evidence","2024-11-13 10:21:57.617"
"103487c",103487,1,"Evidence","2024-11-13 10:21:57.617"
"103487c",103487,1,"Contraband","2024-11-13 10:21:57.617"
"103578c",103578,1,"Evidence","2024-11-13 10:21:57.617"
"103625c",103625,1,"Contraband","2024-11-13 10:21:57.617"
"103649c",103649,1,"Evidence","2024-11-13 10:21:57.617"
"103649c",103649,1,"Contraband","2024-11-13 10:21:57.617"
"103818c",103818,1,"Contraband","2024-11-13 10:21:57.617"
"103818c",103818,2,"Contraband","2024-11-13 10:21:57.617"
"103828c",103828,1,"Contraband","2024-11-13 10:21:57.617"
"103828c",103828,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"103826c",103826,1,"Evidence","2024-11-13 10:21:57.617"
"104041c",104041,1,"Contraband","2024-11-13 10:21:57.617"
"104061c",104061,1,"Contraband","2024-11-13 10:21:57.617"
"104061c",104061,1,"Evidence","2024-11-13 10:21:57.617"
"104273c",104273,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"104510c",104510,1,"Evidence","2024-11-13 10:21:57.617"
"104660c",104660,1,"Evidence","2024-11-13 10:21:57.617"
"104692c",104692,1,"Evidence","2024-11-13 10:21:57.617"
"104692c",104692,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"118829c",118829,1,"Evidence","2024-11-13 10:21:57.617"
"118829c",118829,2,"Evidence","2024-11-13 10:21:57.617"
"118829c",118829,2,"Impound of vehicle","2024-11-13 10:21:57.617"
"104757c",104757,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"104898c",104898,1,"Evidence","2024-11-13 10:21:57.617"
"104991c",104991,1,"Safekeeping as allowed by law/statute","2024-11-13 10:21:57.617"
"105044c",105044,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"105100c",105100,1,"Evidence","2024-11-13 10:21:57.617"
"105180c",105180,1,"Evidence","2024-11-13 10:21:57.617"
"105180c",105180,1,"Impound of vehicle","2024-11-13 10:21:57.617"
"105334c",105334,1,"Evidence","2024-11-13 10:21:57.617"
"105337c",105337,1,"Evidence","2024-11-13 10:21:57.617"
"105343c",105343,1,"Evidence","2024-11-13 10:21:57.617"
"105347c",105347,1,"Evidence","2024-11-13 10:21:57.617"
"105420c",105420,1,"Evidence","2024-11-13 10:21:57.617"
"105420c",105420,1,"Impound of vehicle","2024-11-13 10:21:57.617"
